vesselId,shipname,buque,categ,transmissionDateFrom,transmissionDateTo,score
3c8870ee8-875a-2a89-fe82-843b5305d612,CANADIAN SPIRIT,CANADIAN SPIRIT,C,2017-06-22T17:39:38Z,2025-10-14T23:59:53Z,0
08fc68df4-48b8-77d4-0c0b-fc62b7391ac2,COPAMAR,COPAMAR,B,2020-07-17T20:34:09Z,2025-10-14T23:56:45Z,0
8f79858ac-c855-f7cd-389b-5e5de75af48e,CORAL,CORAL,A,2018-09-03T08:06:03Z,2025-10-08T18:15:59Z,0
56eeab661-1eca-bb59-4b35-f5e70142ab67,DARTESA I,DARTESA I,B,2012-06-09T12:36:33Z,2025-09-03T18:07:10Z,0
6490d8bb0-0637-eba0-d4c9-64c26880b775,DARTESA III,DARTESA III,B,2012-02-07T12:18:43Z,2025-10-14T23:59:40Z,0
ef2974494-4080-c317-ab7c-1cb351d318f2,EMPERADOR,EMPERADOR,B,2023-08-12T23:58:34Z,2025-10-14T23:59:18Z,0
ab05495ba-a84a-4c4c-c9fa-88a7e80b0a5e,FLORIDA,FLORIDA S-1,B,2012-01-01T04:38:13Z,2025-10-14T23:59:40Z,0.121212121212121
c3c04f82f-f6ba-332e-e933-38ecc03872f8,F/V GRANDE-HERMINE,GRANDE HERMINE,A,2020-08-13T14:11:55Z,2025-10-14T23:56:56Z,0.157407407407407
95b246c9d-d5e8-540f-b305-fc2d9bc10d0c,HECHICERO,HECHICERO,B,2012-01-01T03:02:51Z,2025-10-14T23:59:40Z,0.5
6646f3598-8a3e-12db-1dd8-7c0d118edb30,INSIGNIA,INSIGNIA I,B,2012-01-01T04:38:11Z,2025-10-14T23:57:41Z,0.0666666666666668
9506b310b-bbdf-2487-48b3-3afbaf40df10,KALATXORI,KALATXORI,A,2018-11-23T14:37:54Z,2025-10-12T17:28:26Z,0
2b5902d9e-eef8-0f6a-570f-48717f7a4e4b,KRIOS,KRIOS,B,2012-01-12T22:05:29Z,2025-10-14T21:25:38Z,0
1e7433f0a-abd9-1baa-f2a5-ef577718c08e,LA CRUZ DEL SUR,LA CRUZ DEL SUR,B,2024-10-16T15:23:39Z,2025-10-10T17:55:46Z,0
67cc2db9f-fff9-5da6-8634-d644b205ef7a,LA CRUZ DEL SUR,LA CRUZ DEL SUR,B,2014-05-27T15:12:17Z,2024-09-08T14:52:01Z,0
bfd03ad70-0cd0-f9f6-2742-3faa5d655f4e,MANDRAKE I,MANDRAKE I,B,2019-05-29T13:36:29Z,2025-10-14T23:55:33Z,0
8c66c7da6-6aa6-dfe1-204e-4090c3aa42a9,MARIA LAURA I,MARIA LAURA I,B,2019-02-15T16:00:04Z,2025-10-14T23:59:40Z,0
49e9483c0-088c-390f-7075-30a937121814,MARIANNE,MARIANNE,A,2012-01-03T05:32:29Z,2025-10-14T23:59:40Z,0
8e2d14ef4-4936-eb15-10dc-123ac9ca70a6,NILTO I,NILTO I,A,2023-04-18T13:52:36Z,2025-10-11T12:25:11Z,0
05788b3d7-7e2f-1875-e05c-b7ad6269e165,NONI II,NONI II,B,2012-03-06T14:42:39Z,2025-10-14T23:59:40Z,0
861217132-217b-21f8-2244-0a08f18a5d60,OCEAN AZUL,OCEAN AZUL,C,2020-10-20T07:48:06Z,2025-10-01T12:14:18Z,0
65b239c21-1a9d-44e9-8e30-51f0dc3097e1,PINTAMAR,PINTAMAR,B,2019-03-20T14:38:39Z,2025-10-14T23:54:15Z,0
f553dab37-7cda-e442-4ae5-16d78282fe3c,PONTA DAS BOMBAS II,PONTA DAS BOMBAS II,C,2020-07-30T16:30:58Z,2025-10-13T01:05:39Z,0
bb2cdf102-274a-2fc2-e44e-b54c73d0122a,PROA PIONEER,PROA PIONEER,C,2015-10-02T01:32:13Z,2025-10-14T23:59:40Z,0
8c40df35b-b8cd-fd1b-f125-375fccc947df,PROMAR XXI,PROMAR XXI,B,2012-01-12T22:04:05Z,2025-10-14T23:59:45Z,0
8c43f13cc-cd19-8ad2-23a1-2ebef2eefddf,PROMAR XXII,PROMAR XXII,B,2012-01-01T03:00:12Z,2025-10-14T23:59:20Z,0
93ce5b43c-c27d-59ad-cd45-92151df716fa,PROMOPES I,PROMOPES I,A,2013-08-12T13:20:51Z,2025-10-14T23:59:40Z,0
2215b6696-60ca-c81b-c13a-af1db7db6826,QIAN LIAN 1,QIAN LIAN 1,B,2018-02-15T19:41:51Z,2025-10-14T23:59:38Z,0
b4cab2176-67c9-6914-fe47-e0c1aea1c77c,RIANXO,RIANXO,B,2015-05-20T11:44:54Z,2025-10-14T23:59:40Z,0
787049616-6df9-7457-0e71-e382cce66290,RIO SOLIS,RIO SOLIS,A,2018-02-27T14:49:21Z,2025-10-14T23:59:40Z,0
b7a7c8058-83ad-7c61-9017-021499c6561c,RIO SOLIS II,RIO SOLIS II,A,2014-08-02T22:22:18Z,2025-10-14T23:56:54Z,0
1aa70c1a8-8625-ab40-ab37-3c41db14e7af,RIO SOLIS III,RIO SOLIS II,A,2015-03-26T13:00:34Z,2025-10-14T23:59:44Z,0.525641025641026
05c956394-4de8-b1a3-80a8-18c70c99b89b,RIO SOLIS IV,RIO SOLIS IV,A,2024-10-25T14:28:20Z,2025-10-14T23:59:58Z,0
099fe3009-97d0-0ec1-1617-92bde1c6b194,LAVALLEJA,S-5 LAVALLEJA,B,2012-01-16T03:13:37Z,2024-07-20T13:49:00Z,0.602564102564103
d871104ee-e8c2-ed05-5622-ca1c519ae769,SANTA MARIA DEL MAR,SANTA MARIA DEL MAR,B,2017-12-04T18:07:42Z,2025-10-14T23:48:42Z,0
710e06921-1647-e6e1-5ab3-d398b0b774cd,SOPESCA,SOPESCA,B,2012-01-01T02:58:26Z,2025-10-14T23:59:40Z,0
76912b05e-e646-fa54-016a-29ba430d756a,SOPESCA,SOPESCA,B,2024-08-30T16:49:04Z,2025-07-17T00:18:51Z,0.5
14bf59c7a-a72c-9f4d-2102-1290ea840d8d,TACUAREMBO,TACUAREMBO S-2,B,2017-09-14T10:36:16Z,2025-10-13T18:54:29Z,0.0952380952380952
bd9d88d88-892d-2f39-c034-f754db82a88f,TACUAREMBO,TACUAREMBO S-2,B,2012-02-23T12:47:45Z,2024-12-23T18:25:10Z,0.595238095238095
9876cb1a1-1d7c-f9f1-dda6-65d9b543867e,VILLALONGA,VILLALONGA,B,2012-01-26T13:22:30Z,2025-10-14T23:59:45Z,0
33cf26491-1bc6-148f-24c3-eca591a79cc2,ZAANDAM,ZAANDAM (3217),A,2014-09-08T13:21:58Z,2025-10-10T22:57:00Z,0.166666666666667
6f3ab59e5-5285-f4e9-d985-42b2053bf8d4,ZURITA,ZURITA,A,2012-05-31T13:48:25Z,2025-05-13T18:57:39Z,0
